osu_run,sample_id,date,site_abbrv,site,initial_weight,final_weight,units,media,dinotefuran,nitenpyram,thiamethoxam,clothianidin,imidacloprid,acetamiprid,thiacloprid
22,DBT_22,05/05/2015,DS,Don Scott,3.8,1.604,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.32
23,DBT_23,05/05/2015,FSR,FSR,3.6,1.5313,ng/g,dead_bee_traps,< 0.122,< 0.206,18.82,< 5.024,< 0.064,< 0.556,< 0.182
24,DBT_24,05/05/2015,HR,Honeyrun,3.1,1.2918,ng/g,dead_bee_traps,< 0.122,7.84,12.55,< 5.024,< 0.064,< 0.556,< 0.182
25,DBT_25,05/05/2015,IB,IB1,2.7,1.1965,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.59
26,DBT_26,05/05/2015,MC,Mechanicsburg,4.1,1.5741,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.39
27,DBT_27,05/05/2015,MM,Moorman,2.7,1.4358,ng/g,dead_bee_traps,17.62,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,8.55
28,DBT_28,05/05/2015,SC,Scioto Darby,3.1,1.3815,ng/g,dead_bee_traps,< 0.122,< 0.206,24.83,< 5.024,< 0.064,< 0.556,1.62
29,DBT_29,05/05/2015,TV,Three Vs,3.2,1.1047,ng/g,dead_bee_traps,< 0.122,< 0.206,51.56,< 5.024,< 0.064,4.36,< 0.182
30,DBT_30,05/05/2015,WB,WB,3.5,1.4212,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
31,DBT_31,05/08/2015,BG,Badger,2.2,1.1078,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,2.82,< 0.182
32,DBT_32,05/08/2015,DS,Don Scott,3.6,1.2642,ng/g,dead_bee_traps,16.88,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,4.2
33,DBT_33,05/08/2015,FSR,FSR,3.6,1.3197,ng/g,dead_bee_traps,< 0.122,< 0.206,34.59,< 5.024,< 0.064,< 0.556,< 0.182
34,DBT_34,05/08/2015,HR,Honeyrun,3,1.2393,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
35,DBT_35,05/08/2015,IB,IB1,2.3,1.2103,ng/g,dead_bee_traps,< 0.122,< 0.206,55.07,< 5.024,< 0.064,< 0.556,4.78
36,DBT_36,05/08/2015,MC,Mechanicsburg,3.4,1.4199,ng/g,dead_bee_traps,8.62,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
37,DBT_37,05/08/2015,MM,Moorman,2.2,1.1261,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,5.47,3.72
38,DBT_38,05/08/2015,SC,Scioto Darby,2.4,1.1462,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
39,DBT_39,05/08/2015,TV,Three Vs,2.7,1.1534,ng/g,dead_bee_traps,< 0.122,9.33,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
40,DBT_40,05/08/2015,WB,WB,3.1,1.348,ng/g,dead_bee_traps,28.85,< 0.206,2.33,< 5.024,< 0.064,< 0.556,< 0.182
41,DBT_41,05/11/2015,BG,Badger,3.4,1.3574,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,9.47,< 0.182
42,DBT_42,05/11/2015,DS,Don Scott,3.6,1.4898,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.64,< 0.182
43,DBT_43,05/11/2015,FSR,FSR,3.7,1.4043,ng/g,dead_bee_traps,< 0.122,< 0.206,8.98,< 5.024,< 0.064,< 0.556,< 0.182
44,DBT_44,05/11/2015,HR,Honeyrun,3.3,1.3345,ng/g,dead_bee_traps,< 0.122,93.47,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
45,DBT_45,05/11/2015,IB,IB1,3,1.4359,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
46,DBT_46,05/11/2015,MC,Mechanicsburg,3.5,1.4399,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
47,DBT_47,05/11/2015,MM,Moorman,2.6,1.2422,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,10.93,< 0.182
48,DBT_48,05/11/2015,SC,Scioto Darby,3.5,1.6209,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.51,< 0.182
49,DBT_49,05/11/2015,TV,Three Vs,3.3,1.3957,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,40.62,< 0.064,< 0.556,< 0.182
50,DBT_50,05/11/2015,WB,WB,3.5,1.4098,ng/g,dead_bee_traps,< 0.122,< 0.206,62.14,< 5.024,< 0.064,< 0.556,< 0.182
51,DBT_51,05/14/2015,BG,Badger,2.9,1.2833,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
52,DBT_52,05/14/2015,DS,Don Scott,3.9,2.0351,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
53,DBT_53,05/14/2015,FSR,FSR,3.9,2.0108,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,5.94
54,DBT_54,05/14/2015,HR,Honeyrun,3.4,1.386,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
55,DBT_55,05/14/2015,IB,IB1,2.9,1.3265,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,12.11
56,DBT_56,05/14/2015,MC,Mechanicsburg,3.6,1.5045,ng/g,dead_bee_traps,14.63,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
57,DBT_57,05/14/2015,MM,Moorman,3.3,1.4164,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
58,DBT_58,05/14/2015,SC,Scioto Darby,3.5,1.4757,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
59,DBT_59,05/14/2015,TV,Three Vs,3.1,1.2291,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,1874.97,< 0.064,< 0.556,< 0.182
60,DBT_60,05/14/2015,WB,WB,3.7,1.439,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,6.93
61,DBT_61,05/19/2015,BG,Badger,3.8,1.6893,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.14,< 0.182
62,DBT_62,05/19/2015,DS,Don Scott,0.6,0.2083,ng/g,dead_bee_traps,< 0.122,< 0.206,63.06,< 5.024,< 0.064,< 0.556,24.27
63,DBT_63,05/19/2015,FSR,FSR,3.9,1.2644,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,13.61,< 0.182
64,DBT_64,05/19/2015,HR,Honeyrun,3.3,1.1031,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
65,DBT_65,05/19/2015,IB,IB1,2.7,1.0731,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,113.83,< 0.064,< 0.556,14.39
66,DBT_66,05/19/2015,MC,Mechanicsburg,3.8,1.2715,ng/g,dead_bee_traps,65.33,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
67,DBT_67,05/19/2015,MM,Moorman,3.4,1.5644,ng/g,dead_bee_traps,< 0.122,< 0.206,8.57,< 5.024,< 0.064,< 0.556,< 0.182
68,DBT_68,05/19/2015,SC,Scioto Darby,3.6,1.2933,ng/g,dead_bee_traps,9.98,14.23,< 2.347,< 5.024,< 0.064,< 0.556,1.25
69,DBT_69,05/19/2015,TV,Three Vs,3.7,1.3766,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
70,DBT_70,05/19/2015,WB,WB,3.5,1.307,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,1.45,< 0.182
71,DBT_71,05/23/2015,BG,Badger,2.6,1.5031,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,4.48
72,DBT_72,05/23/2015,FSR,FSR,3.5,1.7576,ng/g,dead_bee_traps,< 0.122,< 0.206,55.92,< 5.024,< 0.064,< 0.556,< 0.182
73,DBT_73,05/23/2015,HR,Honeyrun,3.1,1.364,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
74,DBT_74,05/23/2015,IB,IB1,2.8,1.4455,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,525.29,< 0.064,< 0.556,2.44
75,DBT_75,05/23/2015,MC,Mechanicsburg,3.3,1.4458,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
76,DBT_76,05/23/2015,MM,Moorman,2.7,1.1081,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
77,DBT_77,05/23/2015,SC,Scioto Darby,2.8,1.4441,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,135.5,< 0.064,< 0.556,< 0.182
78,DBT_78,05/23/2015,TV,Three Vs,3.3,1.2241,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,4.78
79,DBT_79,05/23/2015,WB,WB,3.2,1.613,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.15
80,DBT_80,05/24/2015,DS,Don Scott,2.8,1.4698,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,591.11,< 0.064,< 0.556,< 0.182
81,DBT_81,05/27/2015,BG,Badger,3.5,1.1453,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,5.16,6.46
82,DBT_82,05/27/2015,DS,Don Scott,0.5,0.2245,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,6.59,< 0.182
83,DBT_83,05/27/2015,FSR,FSR,3.2,1.2424,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,1.72,< 0.182
84,DBT_84,05/27/2015,HR,Honeyrun,2.9,0.9722,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,642,< 0.064,< 0.556,< 0.182
85,DBT_85,05/27/2015,IB,IB1,3.7,1.2093,ng/g,dead_bee_traps,35.21,< 0.206,< 2.347,< 5.024,< 0.064,4.35,< 0.182
86,DBT_86,05/27/2015,MC,Mechanicsburg,3.9,1.6427,ng/g,dead_bee_traps,< 0.122,348.04,274.85,< 5.024,< 0.064,119.99,< 0.182
87,DBT_87,05/27/2015,MM,Moorman,3.3,1.1293,ng/g,dead_bee_traps,< 0.122,< 0.206,14.27,< 5.024,< 0.064,2.77,3.04
88,DBT_88,05/27/2015,SC,Scioto Darby,3.6,1.3708,ng/g,dead_bee_traps,33.58,< 0.206,< 2.347,137.82,< 0.064,< 0.556,< 0.182
89,DBT_89,05/27/2015,TV,Three Vs,4.2,1.1689,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,4.35,< 0.182
90,DBT_90,05/27/2015,WB,WB,3.2,1.2264,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,3.19,5.38
91,DBT_91,06/03/2015,BG,Badger,3.4,1.3135,ng/g,dead_bee_traps,16.73,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
92,DBT_92,06/03/2015,DS,Don Scott,2.9,1.0593,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,3.09
93,DBT_93,06/03/2015,FSR,FSR,3.3,1.1256,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,316.19,< 0.064,< 0.556,< 0.182
94,DBT_94,06/03/2015,HR,Honeyrun,2.9,1.1375,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,2.7
95,DBT_95,06/03/2015,IB,IB1,2.8,1.2143,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
96,DBT_96,06/03/2015,MC,Mechanicsburg,3.3,1.3734,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
97,DBT_97,06/03/2015,MM,Moorman,3.3,1.2644,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,973.63,< 0.064,27.34,2.48
98,DBT_98,06/03/2015,SC,Scioto Darby,3.5,1.4864,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,13.89
99,DBT_99,06/03/2015,TV,Three Vs,3,1.2635,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
100,DBT_100,06/03/2015,WB,WB,3.3,1.3268,ng/g,dead_bee_traps,< 0.122,< 0.206,< 2.347,< 5.024,< 0.064,< 0.556,< 0.182
1,NB_L_1,8/13/2015,DS519,Don Scott,3.4,0.816,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,1.37
2,NB_L_2,8/13/2015,MM505,Moorman,3.8,0.8321,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
3,NB_L_3,8/13/2015,TV505,Three Vs,5.5,1.277,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,0.398
4,NB_L_4,8/23/2015,DS519,Don Scott,2.2,0.4591,ng/g,nuc_box_larvae,1.382,< 0.397,< 0.863,< 2.271,0.394,< 0.388,0.453
5,NB_L_5,8/25/2015,FSR505,FSR,2.5,0.6065,ng/g,nuc_box_larvae,0.139,< 0.397,< 0.863,< 2.271,0.428,< 0.388,1.465
6,NB_L_6,8/25/2015,DS505 + Cloth,Don Scott,1.7,0.4238,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
7,NB_L_7,8/25/2015,WB505,WB,0.8,0.2255,ng/g,nuc_box_larvae,2.205,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,9.767
8,NB_L_8,8/25/2015,DS505,Don Scott,3.5,0.8678,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,0.647,< 0.388,0.169
9,NB_L_9,9/3/2015,DS511 + Cloth,Don Scott,3.6,0.8384,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
10,NB_L_10,9/3/2015,HR508,Honeyrun,2.5,0.546,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,0.216,< 0.269
11,NB_L_11,9/3/2015,DS511,Don Scott,5.5,1.248,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,1.685,8.605
12,NB_L_12,9/3/2015,FSR502,FSR,4.7,1.064,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,2.014
13,NB_L_13,9/4/2015,FSR519,FSR,5.8,1.3519,ng/g,nuc_box_larvae,0.048,< 0.397,< 0.863,< 2.271,< 0.283,0.162,< 0.269
14,NB_L_14,9/4/2015,FSR511,FSR,3.8,0.725,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
15,NB_L_15,9/4/2015,DS519,Don Scott,6.7,1.6473,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
16,NB_L_16,9/4/2015,SC519,Scioto Darby,6.7,1.5971,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
17,NB_L_17,9/4/2015,DS519 + Cloth,Don Scott,6.8,1.6485,ng/g,nuc_box_larvae,0.028,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
18,NB_L_18,9/6/2015,DS505 + Cloth,Don Scott,1.5,0.2978,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,2.34,< 0.388,0.796
19,NB_L_19,9/6/2015,WB505,WB,3.2,0.7685,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,0.41,< 0.388,< 0.269
20,NB_L_20,9/7/2015,DS511 + Cloth,Don Scott,4.2,1.0609,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,3.689,< 0.269
21,NB_L_21,9/7/2015,HR508,Honeyrun,4.5,1.047,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,0.607,< 0.388,0.415
22,NB_L_22,9/7/2015,DS511,Don Scott,4.4,1.0402,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
23,NB_L_23,9/7/2015,FSR502,FSR,4.3,1.02,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,13.244,< 0.283,0.407,< 0.269
24,NB_L_24,9/8/2015,FSR519,FSR,4.2,0.9865,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
25,NB_L_25,9/11/2015,HR508,Honeyrun,3.2,0.6569,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,0.647,0.482,0.868
26,NB_L_26,9/11/2015,DS511,Don Scott,4.4,1.0338,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,0.942,1.06
27,NB_L_27,9/11/2015,FSR502,FSR,2.8,0.5707,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,30.174,0.982,0.839,< 0.269
28,NB_L_28,9/12/2015,FSR519,FSR,2.9,0.7231,ng/g,nuc_box_larvae,0.426,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,0.954
29,NB_L_29,9/12/2015,FSR511,FSR,4.1,0.9194,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,1.322
30,NB_L_30,9/15/2015,FSR502,FSR,1.9,0.4777,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,2.148,0.981,< 0.388,1.15
31,NB_L_31,9/17/2015,TV514 + Cloth,Three Vs,3,0.5578,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,1.033,< 0.388,< 0.269
32,NB_L_32,9/17/2015,MM502,Moorman,6.1,1.398,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
33,NB_L_33,9/17/2015,TV514,Three Vs,4.9,1.0897,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
34,NB_L_34,9/17/2015,HR502,Honeyrun,5.1,1.1076,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,< 0.388,< 0.269
35,NB_L_35,9/17/2015,TV502,Three Vs,4,0.7957,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,0.387,< 0.388,< 0.269
36,NB_L_36,9/17/2015,BG502,Badger,4.4,0.8341,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,0.957,< 0.388,< 0.269
37,NB_L_37,9/17/2015,BG508,Badger,5,1.2222,ng/g,nuc_box_larvae,< 0.313,< 0.397,< 0.863,< 2.271,< 0.283,0.656,< 0.269
38,NB_L_38,9/21/2015,HR502,Honeyrun,5.1,1.1995,ng/g,nuc_box_larvae,0.686,< 0.397,< 0.863,< 2.271,1.095,< 0.388,< 0.269
39,NB_nb_39,8/12/2015,BG505,Badger,4.5,2.67,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,< 0.17,< 0.064
40,NB_nb_40,8/12/2015,TV519,Three Vs,4.7,2.7,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,3.83,< 0.031
41,NB_nb_41,8/12/2015,TV505,Three Vs,5.8,2.309,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
42,NB_nb_42,8/12/2015,SC505,Scioto Darby,4.9,2.69,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,< 0.17,< 0.064
43,NB_nb_43,8/13/2015,DS519,Don Scott,3.1,1.62,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
44,NB_nb_44,8/13/2015,MM505,Moorman,3.9,2.08,ng/g,nuc_box_nurse_bees,NA,NA,NA,NA,NA,NA,NA
45,NB_nb_45,8/13/2015,TV505,Three Vs,5.5,3.05,ng/g,nuc_box_nurse_bees,< 0.045,1.69,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
46,NB_nb_46,8/16/2015,DS519,Don Scott,3.7,2.34,ng/g,nuc_box_nurse_bees,6.95,< 0.375,13.16,< 3.284,< 0.018,< 0.14,< 0.031
47,NB_nb_47,8/16/2015,MM505,Moorman,4.2,2.03,ng/g,nuc_box_nurse_bees,< 1.178,6.83,< 0.094,< 2.251,< 0.038,< 0.17,< 0.064
48,NB_nb_48,8/16/2015,TV505,Three Vs,4.5,2.53,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
49,NB_nb_49,8/23/2015,DS519,Don Scott,4.7,2.24,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,11.14,16.96
50,NB_nb_50,8/23/2015,MM505,Moorman,3.5,1.59,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
51,NB_nb_51,8/23/2015,TV505,Three Vs,7.4,3.03,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
52,NB_nb_52,8/25/2015,FSR505,FSR,3.5,1.5,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,< 0.17,< 0.064
53,NB_nb_53,8/25/2015,DS505 + Cloth,Don Scott,2.9,1.47,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
54,NB_nb_54,8/25/2015,WB505,WB,4.6,2.91,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,4.21,< 2.251,< 0.038,< 0.17,< 0.064
55,NB_nb_55,8/25/2015,DS505,Don Scott,8.6,3.13,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
56,NB_nb_56,8/29/2015,FSR505,FSR,4,2.23,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,4.32,< 0.038,< 0.17,< 0.064
57,NB_nb_57,8/29/2015,DS505 + Cloth,Don Scott,3.5,1.6,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
58,NB_nb_58,8/29/2015,WB505,WB,5.9,3.04,ng/g,nuc_box_nurse_bees,NA,NA,NA,NA,NA,NA,NA
59,NB_nb_59,8/29/2015,DS505,Don Scott,5.5,3.06,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
60,NB_nb_60,9/2/2015,FSR505,FSR,3.1,1.31,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,0.47
61,NB_nb_61,9/2/2015,DS505 + Cloth,Don Scott,4.6,2.2,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,12.11,< 0.038,< 0.17,0.35
62,NB_nb_62,9/2/2015,WB505,WB,3.5,1.97,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
63,NB_nb_63,9/2/2015,DS505,Don Scott,4.3,1.91,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,< 0.17,< 0.064
64,NB_nb_64,9/3/2015,DS511 + Cloth,Don Scott,5.3,2.55,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,12.31,29.35
65,NB_nb_65,9/3/2015,HR508,Honeyrun,7.3,3.04,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,< 0.17,0.06
66,NB_nb_66,9/3/2015,DS511,Don Scott,4.1,1.85,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
67,NB_nb_67,9/3/2015,FSR502,FSR,4.3,2.26,ng/g,nuc_box_nurse_bees,< 1.178,1.67,< 0.094,< 2.251,< 0.038,2.95,< 0.064
68,NB_nb_68,9/4/2015,FSR519,FSR,7.4,3.03,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,1.38,< 2.251,< 0.038,< 0.17,< 0.064
69,NB_nb_69,9/4/2015,FSR511,FSR,5.7,2.05,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,10.66,< 3.284,< 0.018,< 0.14,< 0.031
70,NB_nb_70,9/4/2015,DS519,Don Scott,4.3,1.85,ng/g,nuc_box_nurse_bees,< 1.178,2.28,< 0.094,< 2.251,< 0.038,16.08,16.4
71,NB_nb_71,9/4/2015,SC519,Scioto Darby,5.1,2.98,ng/g,nuc_box_nurse_bees,7.38,< 0.375,< 0.386,< 3.284,< 0.018,2.83,< 0.031
72,NB_nb_72,9/4/2015,DS519 + Cloth,Don Scott,3.9,2.34,ng/g,nuc_box_nurse_bees,0.9,< 1.609,2.31,< 2.251,< 0.038,< 0.17,< 0.064
73,NB_nb_73,9/6/2015,FSR505,FSR,4.9,2.47,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
74,NB_nb_74,9/6/2015,DS505 + Cloth,Don Scott,5.8,2.54,ng/g,nuc_box_nurse_bees,6.41,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
75,NB_nb_75,9/6/2015,WB505,WB,6.7,3.01,ng/g,nuc_box_nurse_bees,< 1.178,< 1.609,< 0.094,< 2.251,< 0.038,< 0.17,< 0.064
76,NB_nb_76,9/6/2015,DS505,Don Scott,5.6,2.6,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
77,NB_nb_77,9/7/2015,DS511 + Cloth,Don Scott,5.5,2.69,ng/g,nuc_box_nurse_bees,< 0.045,< 0.375,< 0.386,< 3.284,< 0.018,< 0.14,< 0.031
